Borough,Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Pondok Bakso & Mie Ayam Lesehan,-6.2038629,106.4464766,Indonesian Meatball Place
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,ketoprak siram Cirebon,-6.197587173446537,106.45792522761496,Arepa Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Bubur ayam depan Bank bjb balaraja,-6.2061758,106.4503098,Belarusian Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Pizza Hut,-6.193827909144382,106.46352754702748,Pizza Place
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Baso titotti cibadak,-6.19433902547527,106.4598520864751,Dumpling Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,nasi uduk Tante Lalan,-6.191623077444834,106.4612267816965,Betawinese Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Bakso Rudal,-6.2042186193602475,106.45229995250702,Noodle House
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Waroeng Bakso Ikan,-6.172256552984579,106.4515523402534,Seafood Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,warung bakso,-6.209600925445557,106.4535140991211,Dumpling Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,catrek,-6.203811578621541,106.4604560309628,Dumpling Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,"Bakmi abah,balaraja",-6.1942430769842565,106.45688990779352,Noodle House
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,CFC Rest Area,-6.193618135292382,106.42486655007052,American Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Bakmi Raos,-6.190368059933486,106.46048479026757,Noodle House
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Kantin CPI Balaraja,-6.223805904388428,106.43170166015625,Latin American Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Bakso kepala sapi,-6.18804,106.45234,Dumpling Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Saung Haneut,-6.192251361286304,106.46204930239966,Sundanese Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Pizza crot mas broto,-6.225614222222222,106.42995755555555,Pizza Place
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Mie Ayam Kari,-6.195509760592845,106.45837783813477,Noodle House
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Mie Catrek,-6.192563,106.461706,Noodle House
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,rumah makan mudiak padang,-6.217085361480713,106.41087341308594,Padangnese Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Ketoprak Sentiong,-6.176142669718115,106.45231155490987,Dim Sum Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Pondok Bakso Tennis  mas jhon,-6.195729509816064,106.45853491835072,Indonesian Meatball Place
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Soto Padang,-6.192124366760254,106.46219635009766,Padangnese Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Kantin Freetrend,-6.212374473500974,106.46001313816812,Buffet
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Sawah balaraja didenztrit2,-6.2026,106.46082,Australian Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Kantor lurah pasir rampo,-6.20215,106.4547,American Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Pondok Bakso Mas Jhon,-6.195677,106.458653,Dumpling Restaurant
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,Bakso Tam Tam,-6.2173615,106.4116,Indonesian Meatball Place
